,index,referee,tactical,players,injury,index,season
0,0,0.16704823662828405,0.82705658508209,0.002932402639487642,0.0029627756501381924,0,1
1,1,0.41099255643828586,0.4963861621133778,0.0031316394947795995,0.08948964195355652,1,1
2,2,0.16811689072937985,0.8256713990642763,0.0031265765201707765,0.0030851336861731785,2,1
3,3,0.003583686673652714,0.9892969592113806,0.003533824185369766,0.003585529929596795,3,1
4,4,0.24622045366130896,0.392942145684965,0.00298697379689062,0.35785042685683544,4,1
5,5,0.004577187606103249,0.7035677711847572,0.0046788957418375295,0.287176145467302,5,1
6,6,0.002061364104589093,0.5478306552076252,0.4479899009444753,0.0021180797433104394,6,1
7,7,0.00260484765502894,0.7469620606139024,0.2478418243971034,0.002591267333965255,7,1
8,8,0.004214947378022719,0.5625016466683624,0.004240563990768414,0.4290428419628465,8,1
9,9,0.3363554608416146,0.41290259671568647,0.24819074958761023,0.00255119285508872,9,1
10,10,0.3776769182900489,0.3222786391941153,0.29683018523494886,0.003214257280886989,10,1
11,11,0.0027711774192815558,0.6101147933933108,0.38435159041644446,0.0027624387709632857,11,1
12,12,0.003419678625457568,0.9897747537544471,0.0034080561440315753,0.0033975114760638756,12,1
13,13,0.0023130433117832506,0.002352875300670762,0.9930468488317545,0.0022872325557914976,13,1
14,14,0.598639946071119,0.39606791781876444,0.0025812539863045007,0.002710882123812072,14,1
15,15,0.0043783044860342055,0.9868924067574246,0.0044361808102088415,0.004293107946332335,15,1
16,16,0.0034510290651194363,0.9896568156697715,0.003417418429244695,0.003474736835864537,16,1
17,17,0.9873012008383656,0.004234683243467001,0.0041999337948421854,0.004264182123325257,17,1
18,18,0.0030403243674490756,0.9910681455084367,0.0029580473736481143,0.0029334827504660815,18,1
19,19,0.002466499745875758,0.9925108434684896,0.002494059798295848,0.0025285969873388367,19,1
20,20,0.0025789127629559394,0.7166760661876542,0.0024841932135217493,0.2782608278358681,20,1
21,21,0.0007433480523119056,0.17266188009571018,0.0007285077482539809,0.825866264103724,21,1
22,22,0.08428693266311083,0.07544132465893363,0.07969679194853674,0.7605749507294188,22,1
23,23,0.11772533865056825,0.0027155626404369386,0.002645257458810004,0.8769138412501849,0,2
24,24,0.22880273364904435,0.39066675707451815,0.33592197369896853,0.04460853557746902,1,2
25,25,0.4716173586756562,0.02424721032154007,0.0017418379194383427,0.5023935930833654,2,2
26,26,0.002939965795672409,0.002971582126568202,0.9911183047434593,0.0029701473343000957,3,2
27,27,0.37691280617388,0.43546738567871524,0.004482749785595992,0.18313705836180882,4,2
28,28,0.0037677405607119477,0.988782683534442,0.003740913535923798,0.0037086623689223256,5,2
29,29,0.9904904608270124,0.003170133435258453,0.003177067018334412,0.003162338719394733,6,2
30,30,0.004362717284387731,0.9867945622183044,0.004470740646318094,0.004371979850989758,7,2
31,31,0.9921108189332994,0.002635238421521027,0.0026167265108056905,0.0026372161343739507,8,2
32,32,0.00145775043107557,0.0014401127796561262,0.3692200282044872,0.6278821085847812,9,2
33,33,0.0037176519996919106,0.9890131002667655,0.0035785537192939616,0.0036906940142485923,10,2
34,34,0.0023412436326411133,0.0023315235963886544,0.9930313822315964,0.002295850539373897,11,2
35,35,0.0023412436326411133,0.0023315235963886544,0.9930313822315964,0.002295850539373897,12,2
36,36,0.9943831225303676,0.0018744868312712902,0.0018717317396009456,0.00187065889875995,13,2
37,37,0.0053203308580646825,0.9838718917159479,0.005459923027134067,0.005347854398853304,14,2
38,38,0.0026066274841959783,0.3993185078788541,0.5954944563796126,0.0025804082573372225,15,2
39,39,0.002812825233252498,0.6612853170192761,0.33324682485395596,0.0026550328935154824,16,2
40,40,0.10585704678299734,0.3982797675409307,0.003275761548786888,0.492587424127285,17,2
41,41,0.003805867818016745,0.6440332455786052,0.003648972547106148,0.3485119140562721,18,2
42,42,0.0013738178954690317,0.21282027384907393,0.024787460532970238,0.7610184477224868,19,2
43,43,0.0042335994925975975,0.9874522193223202,0.004135649866373421,0.004178531318708742,20,2
44,44,0.001310642482515616,0.0013199973668845137,0.16277986352838486,0.834589496622215,21,2
45,45,0.004630573814889654,0.9861005642709112,0.004652253888160285,0.004616608026038799,22,2
46,46,0.5749547533358385,0.0038942887110954023,0.003965223010451269,0.4171857349426149,23,2
47,47,0.6598771495203402,0.06720804122122204,0.2695111057197914,0.003403703538646379,24,2
48,48,0.0034127294568099577,0.5054212942900621,0.157288465405907,0.3338775108472209,25,2
49,49,0.004147708836427023,0.6996595358308159,0.2920412959212772,0.0041514594114799765,26,2
50,50,0.006220990085113012,0.00620056420642176,0.98130830677642,0.0062701389320452125,27,2
51,51,0.20589676900330953,0.0018243051573478618,0.0017562733911714425,0.7905226524481711,28,2
52,52,0.9831950685686068,0.005556962221568801,0.00581493102884834,0.005433038180976097,29,2
53,53,0.994428270538566,0.0018550779824104875,0.0018467850899699851,0.0018698663890534812,30,2
54,54,0.17056064075188165,0.5920893075238179,0.0034325116363384043,0.2339175400879621,31,2
55,55,0.9869881419494391,0.0043114247340317385,0.004314717704123509,0.004385715612405656,32,2
56,56,0.004132363355450774,0.41863025274187593,0.09659831746742208,0.48063906643525117,33,2
57,57,0.003028704958052114,0.9193922439444939,0.07462028686766901,0.002958764229784793,34,2
58,58,0.002805640365613861,0.9915861910435617,0.00281024939501716,0.0027979191958074027,35,2
59,59,0.2907981658324993,0.3417950550481081,0.362879354830425,0.004527424288967757,36,2
60,60,0.4647805935880684,0.4552775882094742,0.003656904391798817,0.07628491381065874,37,2
61,61,0.0049729688429376384,0.6734556883084908,0.03042874441262289,0.2911425984359488,38,2
62,62,0.0021300132644769365,0.9695925653288988,0.0020971676032848934,0.02618025380333934,39,2
63,63,0.23419016402080328,0.30390074710554227,0.001648971188642527,0.46026011768501185,40,2
64,64,0.002341598818811197,0.0023866967461246887,0.993003505265702,0.0022681991693619496,41,2
65,65,0.0027204930765206436,0.9273819683783431,0.002832643728670159,0.06706489481646627,42,2
66,66,0.3082152508316308,0.6857843511125629,0.002971637021145589,0.0030287610346609053,43,2
67,67,0.0012317214229814854,0.4981881286414644,0.08566862451640551,0.41491152541914855,44,2
68,68,0.9929890066573546,0.0023200458173735644,0.0023920080886293436,0.002298939436642528,45,2
69,69,0.0008212503155308247,0.11494118758237698,0.0008157682265165758,0.8834217938755755,46,2
70,70,0.0032609651719789777,0.003364108534914746,0.7085243618891602,0.2848505644039459,47,2
71,71,0.0011751784859548643,0.001191481236782006,0.0011653338740604906,0.9964680064032027,48,2
72,72,0.0025534964869354197,0.9896643555834678,0.0025684073817173574,0.005213740547879419,49,2
73,73,0.4562808777353254,0.0013834030941511774,0.001355873991896067,0.5409798451786273,0,3
74,74,0.0012610561306993192,0.0012636965993841384,0.00125285406902379,0.9962223932008928,1,3
75,75,0.001776113217032385,0.0017585415756205028,0.0017368010134042205,0.9947285441939429,2,3
76,76,0.002215631415623687,0.002186618812604983,0.0022142812415220166,0.9933834685302493,3,3
77,77,0.07842607788424862,0.0010712897989107932,0.0010623112229382957,0.9194403210939023,4,3
78,78,0.0015317968731470265,0.22623035893308283,0.10074467900583076,0.6714931651879393,5,3
79,79,0.0009224505749586853,0.0009101299113379654,0.0009099892676126648,0.9972574302460907,6,3
80,80,0.0015677707226510178,0.0015730886672259761,0.3050551560665095,0.6918039845436135,7,3
81,81,0.0008714273332920161,0.0008487547774576119,0.0008445841834951566,0.9974352337057552,8,3
82,82,0.0014006829344459413,0.0014477012362274335,0.05184944511279522,0.9453021707165314,9,3
83,83,0.0007011393743369848,0.000687247251510376,0.000691544140146975,0.9979200692340057,10,3
84,84,0.0011414116493898062,0.001148259848708236,0.0011269120356565735,0.9965834164662454,11,3
85,85,0.0017982955324428247,0.0018031874539953126,0.1097546732164411,0.8866438437971209,12,3
86,86,0.0011180976736084,0.0011515106320570832,0.0011255680963561244,0.9966048235979784,13,3
87,87,0.001494535731970085,0.0015093207320717441,0.0015200334548452047,0.995476110081113,14,3
88,88,0.0015239863567720088,0.01450767398029207,0.0015779338642091835,0.9823904057987267,15,3
89,89,0.0012369216341412174,0.0012726127594440222,0.05766554985503459,0.9398249157513802,16,3
90,90,0.0012239336256441077,0.0012099613505274834,0.018116697365102366,0.979449407658726,17,3
91,91,0.0015145721252047108,0.0014940599061742399,0.275364994656801,0.72162637331182,18,3
92,92,0.001731822790676747,0.001747072594589432,0.0017445317226593886,0.9947765728920744,19,3
93,93,0.0015895012019577594,0.03144340705838805,0.001586954870173181,0.965380136869481,20,3
94,94,0.001478039057767697,0.0015089905585119615,0.0014995983863835625,0.9955133719973368,21,3
95,95,0.006499153264793045,0.0068277888950611255,0.0064026440114309194,0.9802704138287149,22,3
96,96,0.6123602832692907,0.008126146586486997,0.007740485159919052,0.3717730849843034,23,3
97,97,0.002262618275582077,0.09310736741325953,0.002207166975993893,0.9024228473351645,24,3
98,98,0.25974246705249127,0.0014857095213015475,0.0014842860763716746,0.7372875373498355,25,3
99,99,0.0012710862181083936,0.4676595885944105,0.0013075447622593911,0.5297617804252217,26,3
100,100,0.0036051780542524694,0.10596545455444542,0.003631397777146795,0.8867979696141554,27,3
101,101,0.0011828421483733608,0.09831034998600399,0.0011331783544709787,0.8993736295111517,28,3
102,102,0.001691203279347545,0.0016754785958658803,0.9949014443597224,0.0017318737650641913,29,3
103,103,0.0009819760201293362,0.17952822718301772,0.0009944432880458658,0.8184953535088072,30,3
104,104,0.9935761909590014,0.002113601179250768,0.002153554281428099,0.0021566535803197715,31,3
105,105,0.001803800028829938,0.04179915951543782,0.5001578758940326,0.45623916456169966,32,3
106,106,0.0009725984969750415,0.0009867629415627117,0.0009861786768429362,0.9970544598846194,33,3
107,107,0.002039818307080104,0.002002196076664715,0.9938932131162126,0.0020647725000425775,34,3
