,index,referee,tactical,players,injury,index,season
0,0,0.16704823662828405,0.82705658508209,0.002932402639487642,0.0029627756501381924,0,1
1,1,0.41099255643828586,0.4963861621133778,0.0031316394947795995,0.08948964195355652,1,1
2,2,0.16811689072937985,0.8256713990642763,0.0031265765201707765,0.0030851336861731785,2,1
3,3,0.003583686673652714,0.9892969592113806,0.003533824185369766,0.003585529929596795,3,1
4,4,0.24622045366130896,0.392942145684965,0.00298697379689062,0.35785042685683544,4,1
5,5,0.004577187606103249,0.7035677711847572,0.0046788957418375295,0.287176145467302,5,1
6,6,0.002061364104589093,0.5478306552076252,0.4479899009444753,0.0021180797433104394,6,1
7,7,0.00260484765502894,0.7469620606139024,0.2478418243971034,0.002591267333965255,7,1
8,8,0.004214947378022719,0.5625016466683624,0.004240563990768414,0.4290428419628465,8,1
9,9,0.3363554608416146,0.41290259671568647,0.24819074958761023,0.00255119285508872,9,1
10,10,0.3776769182900489,0.3222786391941153,0.29683018523494886,0.003214257280886989,10,1
11,11,0.0027711774192815558,0.6101147933933108,0.38435159041644446,0.0027624387709632857,11,1
12,12,0.003419678625457568,0.9897747537544471,0.0034080561440315753,0.0033975114760638756,12,1
13,13,0.0023130433117832506,0.002352875300670762,0.9930468488317545,0.0022872325557914976,13,1
14,14,0.598639946071119,0.39606791781876444,0.0025812539863045007,0.002710882123812072,14,1
15,15,0.0043783044860342055,0.9868924067574246,0.0044361808102088415,0.004293107946332335,15,1
16,16,0.0034510290651194363,0.9896568156697715,0.003417418429244695,0.003474736835864537,16,1
17,17,0.9873012008383656,0.004234683243467001,0.0041999337948421854,0.004264182123325257,17,1
18,18,0.0030403243674490756,0.9910681455084367,0.0029580473736481143,0.0029334827504660815,18,1
19,19,0.002466499745875758,0.9925108434684896,0.002494059798295848,0.0025285969873388367,19,1
20,20,0.0025789127629559394,0.7166760661876542,0.0024841932135217493,0.2782608278358681,20,1
21,21,0.0007433480523119056,0.17266188009571018,0.0007285077482539809,0.825866264103724,21,1
22,22,0.08428693266311083,0.07544132465893363,0.07969679194853674,0.7605749507294188,22,1
